App;TestClass;TestFilePath;ProductionFilePath;RelativeTestFilePath;RelativeProductionFilePath;NumberOfMethods;Assertion Roulette;Conditional Test Logic;Constructor Initialization;Default Test;EmptyTest;Exception Catching Throwing;General Fixture;Mystery Guest;Print Statement;Redundant Assertion;Sensitive Equality;Verbose Test;Sleepy Test;Lazy Test;Duplicate Assert;Unknown Test;IgnoredTest;Resource Optimism;Magic Number Test;Dependent Test;Magic String Test;New Eager Test
G01_01;ForwardedHeaderFilterTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G01/01/ForwardedHeaderFilterTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G01/01/ForwardedHeaderFilter.java;;;2;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false
G01_02;DefaultTypeManagerTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G01/02/DefaultTypeManagerTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G01/02/DefaultTypeManager.java;;;1;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false
G01_03;HashingBalancedPartitionerTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G01/03/HashingBalancedPartitionerTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G01/03/HashingBalancedPartitioner.java;;;1;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false
G01_04;MatcherSetsTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G01/04/MatcherSetsTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G01/04/MatcherSets.java;;;2;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
G01_05;HessianProtocolTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G01/05/HessianProtocolTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G01/05/HessianProtocol.java;;;2;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false
G02_01;NodeTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G02/01/NodeTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G02/01/Node.java;;;2;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false
G02_02;DJsonScalarTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G02/02/DJsonScalarTest.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G02/02/DJsonScalar.java;;;1;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;true;false
G02_03;JsonbHttpMessageConverterTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G02/03/JsonbHttpMessageConverterTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G02/03/JsonbHttpMessageConverter.java;;;2;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;true;true
G02_04;ProducesRequestConditionTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G02/04/ProducesRequestConditionTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G02/04/ProducesRequestCondition.java;;;1;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;true
G02_05;TilesViewTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G02/05/TilesViewTests.java;/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Originale/TestSmellDetector/dataset/arquivos/G02/05/TilesView.java;;;2;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
