App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,Magic String Test,New Eager Test
1,UserTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/01/UserTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/01/User.java,,,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2,CalculatorTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/02/CalculatorTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/02/Calculator.java,,,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3,ByteChunkConverterTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/03/ByteChunkConverterTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/03/ByteChunkConverter.java,,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,ChainedTypeConverterTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/04/ChainedTypeConverterTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/04/ChainedTypeConverter.java,,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,CookieMapConverterTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/05/CookieMapConverterTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/05/CookieMapConverter.java,,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
6,ParametersConverterTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/06/ParametersConverterTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/06/ParametersConverter.java,,,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
7,DepartmentServiceTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/07/DepartmentServiceTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/07/DepartmentService.java,,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,AppointmentServiceTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/08/AppointmentServiceTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/08/AppointmentService.java,,,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
9,ContactServiceTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/09/ContactServiceTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/09/ContactService.java,,,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10,AppTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/10/AppTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/10/App.java,,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
11,HolidayServiceTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/11/HolidayServiceTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/11/HolidayService.java,,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
12,CenovnikTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/12/CenovnikTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/12/Cenovnik.java,,,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,IznajmljivanjeTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/13/IznajmljivanjeTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/13/Iznajmljivanje.java,,,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,KorisnikTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/14/KorisnikTest.java,/mnt/c/Users/GIULIANO/Desktop/Tirocinio/Migliorato/TestSmellDetector/dataset/14/Korisnik.java,,,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
